Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
0,Raider,2.890732654718654,0.3487225387149187,130.0,0.0,0.2269720784000967,0.11990713930571713,0.3146041563703705,0.3385166259238157,0.934939164074425,0.5871474505779127,0.3486965623167212,0.4255298495304459
1,Prober 3,2.8790620790889574,0.26792555768627885,158.0,0.0,0.13735282518655878,0.13076887881296612,0.3589130801626246,0.37296521583785053,0.8044617219870348,0,0.6771209623584153,0.26269979607730826
2,First by Downing,2.854237616260498,0.2993846178468827,145.0,0.0,0.1933019643983477,0.1063351003691546,0.31553563666583145,0.3848272985666662,0.8024946742301796,0.5924313419870237,0.27150929684867897,0.4334375756187151
3,Hard Prober,2.833051215225443,0.4053574538929238,121.0,0.0,0.28179286424523803,0.12413521817833204,0.2813345285363447,0.3127373890400853,0.8757274481385944,0.5605798984217564,0.4046427547460883,0.46219269755511855
4,Fortress4,2.8322110432090843,0.12901134391346894,184.0,0.0,0.02101314830886416,0.1081660583295981,0.37516193820991744,0.4956588551516202,1.0,0,0,0.2593890593597678
5,Fortress3,2.8256144189492303,0.2097957077253686,171.0,0.0,0.05748981254033563,0.15216883619472812,0.3665453072025182,0.42379604406241805,1.0,0,0,0.42578872390114286
6,UsuallyDefects,2.821986960540304,0.10162502057877555,174.0,0.0,0.024340673137555034,0.07745776543592647,0.35456740538585163,0.5436341560406669,0,0,0,0.3673730246393252
7,Better and Better,2.799915344814913,0.010471605605839887,224.0,0.0010483870967741935,0.002618153248623212,0.007743618882401224,0.3387148856548467,0.6509233422141288,0.12543012543012544,0.15622143511137818,0.010162653750677379,0.01366586430630996
8,Tricky Defector,2.7995860734892575,0.24184152708068776,168.0,0.0,0.04560682470839501,0.19476127112363495,0.3636856206813884,0.39594628348658173,0,1.0,0,0.24880689832614586
9,Defector,2.78617377493945,0.0,228.0,0.0,0.0,0.0,0.3343806865032413,0.6656193134967586,0,0,0,0
10,Random: 0.1,2.7805637966115277,0.10042933181916593,197.0,0.10153225806451613,0.03843106629566996,0.06204036797955977,0.3423898789860974,0.5571386867386728,0.10943723135348382,0.10724954676616472,0.10312631171391541,0.10040579513663943
11,Prober,2.77767191688051,0.44578168636520044,101.0,0.0,0.31293269086600045,0.1330976013010878,0.2630445260357743,0.29092518179713744,0.824910496579795,0.586987270627134,0.7477169535071925,0.3520683275179782
12,Ripoff,2.7696892211804176,0.5464722970731273,93.0,0.0,0.4021489755098271,0.1466664901544342,0.2161766597348377,0.235007874600901,0.8183245029106827,0.5917203127462166,1.0,0.40172411586056533
13,Second by Gladstein,2.7498665293105127,0.5736282081412027,83.0,0.0,0.424035271233044,0.14792229828435324,0.20413073083937786,0.22391169964322485,0.818586888763746,0.5825073946417729,1.0,0.4090691613374333
14,Evolved FSM 6,2.7386737703776713,0.8201185758066846,23.0,1.0,0.7515644807634688,0.0697244320043261,0.09310008287869596,0.08561100435350906,0.9647385853317341,0.2932106787594509,0.7640877309746891,0.17385014312682687
15,Evolved FSM 16,2.738325446489224,0.8074881908265206,28.0,1.0,0.7190961456445023,0.08861077377498112,0.11374817859828301,0.07854490198223357,0.9128693506661357,0.4200793936334059,0.6262016360652194,0.358496823661724
16,Second by Tester,2.737790766518729,0.5704084098598357,82.0,0.0,0.4231905563677064,0.14745427548741255,0.20266725489989118,0.22668791324498985,0.8197914757989108,0.5793244546599956,1.0,0.43273618212356985
17,Cycler DDC,2.7371360299272234,0.29846131372644497,157.0,0.0,0.08965255490375423,0.20847328144979646,0.33598909395381366,0.3658850696926356,0,0,0.40706122498677305,0.635943161336579
18,EvolvedLookerUp1_1_1,2.732137253585866,0.7494899793567882,32.0,1.0,0.6866681402303807,0.06423405414885822,0.11668372280738908,0.1324140828133721,0.977292224829916,0,0.7603580317581012,0
19,Grudger,2.7304340388179584,0.7018270694767209,41.0,1.0,0.6694999083290143,0.0333677399405705,0.11586023888730655,0.18127211284310868,1.0,0,0,0
20,MEM2,2.7292645978889594,0.7397762485411887,33.0,1.0,0.6980220943912652,0.04248737490235122,0.10657397081092058,0.15291655989546293,0.9974737462686731,0.20918606469803508,0.348484360192555,0
21,"Limited Retaliate 2: 0.08, 15",2.727201024327601,0.7167063379997579,40.5,1.0,0.6777633935290063,0.03948681859236811,0.10833963720238991,0.17441015067623575,0.991136565702736,0,0.03576216669501951,0.0356631107082929
22,Tricky Level Punisher,2.726083044381211,0.7034606301110164,40.0,1.0,0.6701399182908505,0.03375275497909996,0.11435645306502205,0.18175087366502737,1.0,0.23626987695467858,0.0266062427305062,0
23,Spiteful Tit For Tat,2.7247437236942393,0.7785230833844862,22.0,1.0,0.7121902565886304,0.06563681763568838,0.10385962378679031,0.11831330198889091,1.0,0,0.7716282582764386,0
24,Retaliate 2: 0.08,2.7236327093028736,0.7097903090417313,41.0,1.0,0.6731873680356879,0.03524200281070369,0.1080072033618707,0.18356342579173776,1.0,0,0.026714693926259657,0
25,Aggravater,2.7234818243453036,0.1083886158803888,228.0,0.0,0.09810267429403134,0.008038959858713616,0.27068106371983064,0.6231773021274244,1.0,0,0.15241958159973,0
26,"Limited Retaliate 3: 0.05, 20",2.7211572017051933,0.714067959100992,41.0,1.0,0.6735309613436924,0.036848574046488496,0.11162997552166755,0.17799048908815165,0.9830243452890101,0,0.023839290559016933,0.021015944542813997
27,Evolved FSM 16 Noise 05,2.720463181574182,0.8016526576521704,21.0,1.0,0.738232583818035,0.062223914252631525,0.09159796652272925,0.10794553540660412,0.9760067673280396,0.45433767041962914,0.4991526430416603,0.10468916274668817
28,"Limited Retaliate: 0.1, 20",2.7202732286365823,0.7153689086888447,41.5,1.0,0.6779871164970227,0.0382611124645977,0.10458050483139343,0.1791712662069863,0.9995603755044774,0,0.04475443012415741,0.017747007137145363
29,Forgiver,2.719862240187692,0.7146307700426652,40.0,1.0,0.6800586080716955,0.035237469542120155,0.10557653469829703,0.1791273876878873,1.0,0.333575597847877,0.060986338552025884,0
30,Retaliate 3: 0.05,2.719637921769701,0.7064757921306727,42.0,1.0,0.6729653196044806,0.03411747519673697,0.11037480495590174,0.18254240024288057,1.0,0,0.01055102050797767,0
31,Forgetful Grudger,2.7177423096757822,0.719196134416868,40.0,1.0,0.6836906326995013,0.0364079744273648,0.09929783713419395,0.18060355573893994,1.0,0,0.06336169098862068,0
32,Second by RichardHufford,2.7173028330271647,0.7793845893706193,30.0,1.0,0.7089865326863732,0.07075960581088267,0.10275811715167207,0.1174957443510721,0.9778515349456186,0.4475362995449886,0.8290172527608696,0.07889970812872726
33,Retaliate: 0.1,2.716911111482381,0.7152107740628002,41.0,1.0,0.6818480036096038,0.035686246874603963,0.10200266466458605,0.18046308485120616,1.0,0,0.04568643934931777,0
34,"Gradual Killer: (D, D, D, D, D, C, C)",2.713547485788583,0.39862325882734045,156.0,0.0,0.25923291572960383,0.13811606594097423,0.21674152502501975,0.3859094933044022,1.0,0.7997093983502228,0.13314069050997412,0.19506854229922
